"Action","Acción"
"Add Sitemap","Agregar un mapa del sitio"
"Always","Siempre"
"Categories Options","Opciones para las categorías"
"CMS Pages Options","Opciones para las páginas CMS"
"Daily","Diariamente"
"Edit Sitemap","Editar el mapa del sitio"
"Enabled","Habilitado"
"Error Email Recipient","Error en el correo electrónico del recipiente"
"Error Email Sender","Error en el correo electrónico del remitente"
"Error Email Template","Error en la plantilla de correo"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","El fichero ""%s"" no se ha podido guardar. Por favor, crea un  directorio ""%s"" con permiso de escritura."
"Filename","Nombre del archivo"
"Frequency","Frecuencia"
"Generate","Generar"
"Generation Settings","Configuraciones de generación"
"Google Sitemap","Mapa del sitio Google"
"Hourly","Cada hora"
"ID","ID"
"Last Time Generated","Ultima vez que se generó"
"Link for Google","Enlace para Google"
"Monthly","Mensualmente"
"Never","Nunca"
"New Sitemap","Nuevo mapa del sitio"
"Path","Ruta"
"Please create the specified folder ""%s"" before saving the sitemap.","Crea el directorio ""%s"" después de guardar el mapa del sitio"
"Please define correct path","Defina una ruta correcta"
"Please make sure that ""%s"" is writable by web-server.","Revisa que ""%s"" tenga permisos de escritura."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Utilize sólo letras (a-z o A-Z), números (0-9) o el guión bajo (_) para los nombres de fichero. Si espacios ni caráteres no alfanuméricos."
"Priority","Prioridad"
"Products Options","Opciones para los productos"
"Sitemap","Mapa del sitio"
"Sitemap generate Warnings","El mapa del sitio genera advertencias"
"Start Time","Hora de inicio"
"Store View","Vista de la tienda"
"The priority must be between 0 and 1.","The priority must be between 0 and 1."
"The sitemap ""%s"" has been generated.","The sitemap ""%s"" has been generated."
"The sitemap has been deleted.","The sitemap has been deleted."
"The sitemap has been saved.","The sitemap has been saved."
"This sitemap no longer exists.","This sitemap no longer exists."
"Unable to find a sitemap to delete.","Unable to find a sitemap to delete."
"Unable to find a sitemap to generate.","Unable to find a sitemap to generate."
"Unable to generate the sitemap.","Unable to generate the sitemap."
"Valid values range: from 0.0 to 1.0.","Valid values range: from 0.0 to 1.0."
"Weekly","Semanalmente"
"Yearly","Anualmente"
