"""Remember Me"" Default Value","Valor por defecto de ""Recordarme"""
"(Not %s?)","(¿Usted no es %s?)"
"* Required Fields","* Campos Requeridos"
"Address","Dirección"
"Address Information","Información de la Dirección"
"Already registered?","¿Usuario ya registrado?"
"Back","Volver"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Crear una cuenta en nuestra tienda le permitirá ordenar más rápidamente, almacenar múltiples direcciones de envío, ver y rastrear sus órdenes y más."
"Cannot load configuration from file %s.","Cannot load configuration from file %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Al seleccionar &quot;Recordarme&quot; le permitirá acceder a su Carrito de compras en esta computadora cuando cierre su sesión."
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest","Checkout as a Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"City","Ciudad"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Close","Cerrar"
"Company","Compañia"
"Confirm Password","Confirmar Contraseña"
"Continue","Continuar"
"Country","País"
"Create an Account","Crear una Cuenta"
"Easy access to your order history and status","Acceso fácil a su historial de órdenes y estado"
"Email Address","Dirección de Correo Electrónico"
"Enable ""Remember Me""","Habilitar ""Recordarme"""
"Enable Persistence","Habilitar Persistencia"
"Fast and easy check out","Realizar órdenes rápidamente"
"Faster checkout","Ordenar más rápidamente"
"Fax","Fax"
"Forgot Your Password?","¿Olvidó su contraseña?"
"Forgot your password?","¿Olvidó su contraseña?"
"General Options","Opciones generales."
"If you have an account with us, please log in.","Si tiene una cuenta con nosotros, inicie sesión"
"Loading next step...","Cargando siguiente paso..."
"Login","Iniciar Sesión"
"Login Information","Información de Inicio de Sesión"
"Login or Create an Account","Iniciar Sesión o Crear Cuenta"
"New Customers","Nuevos Clientes"
"New Here?","¿Nuevo Aquí?"
"Password","Contraseña"
"Persist Shopping Cart","Persistir Carrito de Compras"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Información Personal"
"Please enter the following information to create your account.","Introduzca la siguiente información para crear su cuenta."
"Please log in below:","Inice sesión abajo:"
"Please select region, state or province","Elija región, estado o provincia"
"Register","Registrarse"
"Register and Checkout","Registrarse y hacer Pedido"
"Register and save time!","¡Regístrese y ahorre tiempo!"
"Register to Create an Account","Regístrese para crear una cuenta"
"Register with us for future convenience:","Regístrese con nosotros para su conveniencia futura"
"Registered Customers","Usuarios Registrados"
"Registration is free and easy!","El Registro es fácil y sencillo"
"Remember Me","Recordarme"
"Returning Customers","Clientes Recurrentes"
"Save in address book","Guardar en libreta de direcciones"
"Save multiple shipping addresses","Guardar múltiples direcciones de envío"
"Select State/Province...","Seleccionar Estado/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleccionar una dirección de facturación de su libreta de direcciones o introduzaca una nueva dirección"
"Ship to different address","Enviar a una dirección diferente"
"Ship to this address","Enviar a esta dirección"
"Shopping cart has been updated with appropriate prices","El carrito de compras se ha actualizado con los precios adecuados"
"Sign Up for Newsletter","Suscribirse al Newsletter"
"Sign in to speed up your checkout process","Iniciar sesión para acelerar el proceso de orden"
"State/Province","Estado/Provincia"
"Street Address","Calle"
"Street Address %s","Calle %s"
"Submit","Enviar"
"Telephone","Teléfono"
"To proceed to Checkout, please log in using your email address.","Para ordenar, inicie sesión con su dirección de correo"
"VAT Number","VAT Number"
"View and track orders and more","Ver y rastrear órdenes y más."
"Welcome, %s!","Bienvenido, %s!"
"What's this?","¿Qué es esto?"
"Zip/Postal Code","Código Postal"
